Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
115,Csokonai Színház,1683,8854,10687,6.34997029114676,12711,7.55258467023173,23398,13.9025549613785,20511,12.1871657754011,18461,10.9691027926322,0.00215277777777778
114,Csokonai Színház,1733,8882,12702,7.32948643969994,9380,5.41257934218119,22082,12.7420657818811,16943,9.77668782458165,20198,11.6549336410848,0.00163194444444444
415,Nagyállomás,412,3384,973,2.36165048543689,4007,9.7257281553398,4980,12.0873786407767,6071,14.7354368932039,3005,7.29368932038835,0.00136574074074074
041,Balásházy János Szki.,171,613,310,1.81286549707602,1755,10.2631578947368,2065,12.0760233918129,2218,12.9707602339181,712,4.16374269005848,0.00146990740740741
450,Pac,263,1281,2838,10.7908745247148,0,0,2838,10.7908745247148,6,1.5,2844,10.8136882129278,0.000532407407407407
414,Nagyállomás,1566,6240,15013,9.58684546615581,351,0.224137931034483,15364,9.81098339719029,823,6.00729927007299,15486,9.88888888888889,0.000706018518518518
412,Nagyállomás,2480,9558,0,0,21427,8.63991935483871,21427,8.63991935483871,21588,8.70483870967742,0,,0.00130787037037037
855,Észak-Nyugati Gazdasági Övezet,688,1399,2543,3.69622093023256,3355,4.87645348837209,5898,8.57267441860465,5042,10.35318275154,4141,12.1081871345029,0.0009375
451,Pac,250,1260,0,0,2068,8.272,2068,8.272,2099,8.396,0,,0.00137731481481481
845,Semcorp Hungary Kft.,137,500,421,3.07299270072993,660,4.81751824817518,1081,7.89051094890511,1611,11.7591240875912,1363,9.94890510948905,0.00215277777777778
252,Kölcsey Központ (Hunyadi János utca),1054,4565,3436,3.25996204933586,4748,4.50474383301708,8184,7.76470588235294,14648,13.8975332068311,13341,12.657495256167,0.00197916666666667
