Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
115,Csokonai Színház,1683,8854,10687,6.3,12711,7.6,23398,13.9,20511,12.2,18461,11.0,00:03:06
114,Csokonai Színház,1733,8882,12702,7.3,9380,5.4,22082,12.7,16943,9.8,20198,11.7,00:02:21
415,Nagyállomás,412,3384,973,2.4,4007,9.7,4980,12.1,6071,14.7,3005,7.3,00:01:58
041,Balásházy János Szki.,171,613,310,1.8,1755,10.3,2065,12.1,2218,13.0,712,4.2,00:02:07
450,Pac,263,1281,2838,10.8,0,0,2838,10.8,6,1.5,2844,10.8,00:00:46
414,Nagyállomás,1566,6240,15013,9.6,351,0.2,15364,9.8,823,6.0,15486,9.9,00:01:01
412,Nagyállomás,2480,9558,0,0,21427,8.6,21427,8.6,21588,8.7,0,,00:01:53
855,Észak-Nyugati Gazdasági Övezet,688,1399,2543,3.7,3355,4.9,5898,8.6,5042,10.4,4141,12.1,00:01:21
451,Pac,250,1260,0,0,2068,8.3,2068,8.3,2099,8.4,0,,00:01:59
845,Semcorp Hungary Kft.,137,500,421,3.1,660,4.8,1081,7.9,1611,11.8,1363,9.9,00:03:06
252,Kölcsey Központ (Hunyadi János utca),1054,4565,3436,3.3,4748,4.5,8184,7.8,14648,13.9,13341,12.7,00:02:51
327,Klinikai Központ Nagyerdei Campus,806,3617,3387,4.2,2839,3.5,6226,7.7,10887,13.5,11459,14.2,00:02:32
035,Klinikai Központ Auguszta,365,1749,1840,5.0,874,2.4,2714,7.4,3105,8.5,4106,11.2,00:01:39
551,Kálvin tér,1076,4670,3916,3.6,3736,3.5,7652,7.1,14454,13.4,14606,13.6,00:01:48
